Date,Symbol,Expiry,Option Type,Strike Price,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Premium Turnover,Open Interest,Change in OI,Underlying
2012-11-27,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1100.05,0,0.0,,0,0,5727.45
2012-11-29,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1195.4,0,0.0,,0,0,5825.0
2012-11-30,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1249.05,0,0.0,,0,0,5879.85
2012-12-03,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1236.85,0,0.0,,0,0,5870.95
2012-12-04,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1253.8,0,0.0,,0,0,5889.25
2012-12-05,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1264.45,0,0.0,,0,0,5900.5
2012-12-06,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1293.45,0,0.0,,0,0,5930.9
2012-12-07,NIFTY,2013-01-31,CE,4700.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,5,1494000.0,,250,250,5907.4
2012-12-10,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1277.0,1277.0,1266.95,0,0.0,,250,0,5908.9
2012-12-11,NIFTY,2013-01-31,CE,4700.0,1312.35,1312.35,1312.35,1312.35,1312.35,1312.35,5,1503000.0,,0,-250,5898.8
2012-12-12,NIFTY,2013-01-31,CE,4700.0,1250.0,1250.0,1245.0,1245.0,1245.0,1245.0,15,4460000.0,,750,750,5888.0
2012-12-13,NIFTY,2013-01-31,CE,4700.0,1244.5,1244.5,1244.5,1244.5,1244.5,1244.5,2,594000.0,,850,100,5851.5
2012-12-14,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1244.5,1244.5,1233.45,0,0.0,,850,0,5879.6
2012-12-17,NIFTY,2013-01-31,CE,4700.0,1213.0,1215.0,1207.5,1207.5,1207.5,1207.5,14,4139000.0,,1450,600,5857.9
2012-12-18,NIFTY,2013-01-31,CE,4700.0,1212.0,1247.0,1050.0,1246.0,1246.0,1246.0,71,21074000.0,,4900,3450,5896.8
2012-12-19,NIFTY,2013-01-31,CE,4700.0,1271.2,1271.2,1258.0,1261.05,1258.85,1261.05,124,36967000.0,,11100,6200,5929.6
2012-12-20,NIFTY,2013-01-31,CE,4700.0,1241.6,1241.6,1231.0,1232.0,1232.0,1232.0,23,6826000.000000001,,12150,1050,5916.4
2012-12-21,NIFTY,2013-01-31,CE,4700.0,1211.45,1215.0,1183.55,1183.65,1183.65,1183.65,7,2067000.0000000002,,12300,150,5847.7
2012-12-24,NIFTY,2013-01-31,CE,4700.0,1198.05,1200.0,1183.65,1195.3,1194.0,1195.3,243,71595000.0,,24350,12050,5855.75
2012-12-26,NIFTY,2013-01-31,CE,4700.0,1200.0,1249.0,1200.0,1243.45,1244.0,1243.45,680,201549000.0,,58350,34000,5905.6
2012-12-27,NIFTY,2013-01-31,CE,4700.0,1238.95,1244.0,1217.4,1224.9,1224.9,1224.9,352,104423000.0,,74550,16200,5870.1
2012-12-28,NIFTY,2013-01-31,CE,4700.0,1224.0,1235.0,1219.85,1231.85,1235.0,1231.85,17,5042000.0,,74650,100,5908.35
